Date & Time,Asset,Direction,Exit Signal,Raw Trade P&L (%),Scaled Portfolio P&L (%),Compounded Equity ($),High Water Mark ($),Drawdown (%)
2021-03-16 00:00:00,BTC,Long,Stop Loss,-12.52%,-3.756%,9624.4,10000.0,-3.76%
2021-03-23 00:00:00,LTC,Short,Exit Short (Green),0.68%,0.196%,9643.24,10000.0,-3.57%
2021-03-24 00:00:00,LTC,Short,🛑 SL,-0.95%,-0.274%,9616.87,10000.0,-3.83%
2021-03-25 04:00:00,ALGO,Short,Exit Short (Green),6.01%,1.730%,9783.27,10000.0,-2.17%
2021-03-25 08:00:00,DOGE,Short,Exit Short (Green),2.56%,0.737%,9855.37,10000.0,-1.45%
2021-03-25 08:00:00,LTC,Short,Exit Short (Green),3.93%,1.131%,9966.88,10000.0,-0.33%
2021-03-26 12:00:00,DOGE,Short,Exit Short (Green),-0.46%,-0.132%,9953.68,10000.0,-0.46%
2021-03-31 08:00:00,DOGE,Short,🛑 SL,-1.25%,-0.360%,9917.86,10000.0,-0.82%
2021-03-31 08:00:00,LTC,Short,🛑 SL,-0.95%,-0.274%,9890.73,10000.0,-1.09%
2021-03-31 16:00:00,DOGE,Short,🛑 SL,-1.25%,-0.360%,9855.14,10000.0,-1.45%
2021-04-18 00:00:00,BTC,Long,Stop Loss,-9.77%,-2.931%,9566.28,10000.0,-4.34%
2021-04-20 00:00:00,ALGO,Short,🛑 SL,-1.22%,-0.351%,9532.68,10000.0,-4.67%
2021-04-22 20:00:00,ADA,Short,💰 TP,9.90%,2.850%,9804.39,10000.0,-1.96%
2021-04-22 20:00:00,ALGO,Short,💰 TP,12.81%,3.688%,10165.97,10165.97,-0.00%
2021-04-25 16:00:00,LTC,Short,🛑 SL,-0.93%,-0.268%,10138.75,10165.97,-0.27%
2021-04-25 16:00:00,ALGO,Short,🛑 SL,-1.45%,-0.417%,10096.43,10165.97,-0.68%
2021-05-12 20:00:00,ALGO,Short,🛑 SL,-1.31%,-0.377%,10058.35,10165.97,-1.06%
2021-05-13 04:00:00,ALGO,Short,🛑 SL,-1.29%,-0.371%,10020.99,10165.97,-1.43%
2021-05-13 16:00:00,ALGO,Short,🛑 SL,-1.29%,-0.371%,9983.78,10165.97,-1.79%
2021-05-16 16:00:00,ALGO,Short,🛑 SL,-1.26%,-0.363%,9947.56,10165.97,-2.15%
2021-05-16 20:00:00,BNB,Short,💰 TP,7.96%,2.292%,10175.53,10175.53,-0.00%
2021-05-17 08:00:00,ALGO,Short,Exit Short (Green),-1.15%,-0.331%,10141.84,10175.53,-0.33%
2021-05-19 00:00:00,BNB,Short,💰 TP,9.44%,2.718%,10417.47,10417.47,-0.00%
2021-05-19 00:00:00,LTC,Short,🛑 SL,-1.00%,-0.288%,10387.48,10417.47,-0.29%
2021-05-19 04:00:00,LTC,Short,💰 TP,9.95%,2.865%,10685.04,10685.04,-0.00%
2021-05-19 04:00:00,ALGO,Short,💰 TP,13.79%,3.970%,11109.25,11109.25,-0.00%
2021-05-21 16:00:00,BNB,Short,🛑 SL,-1.75%,-0.504%,11053.28,11109.25,-0.50%
2021-05-23 08:00:00,ADA,Short,💰 TP,13.44%,3.869%,11480.97,11480.97,-0.00%
2021-05-23 08:00:00,DOGE,Short,🛑 SL,-1.52%,-0.438%,11430.73,11480.97,-0.44%
2021-05-23 12:00:00,BNB,Short,💰 TP,18.32%,5.274%,12033.62,12033.62,-0.00%
2021-05-23 12:00:00,LTC,Short,💰 TP,17.96%,5.171%,12655.84,12655.84,-0.00%
2021-05-23 20:00:00,ALGO,Short,Exit Short (Green),3.09%,0.890%,12768.43,12768.43,-0.00%
2021-05-24 00:00:00,ADA,Short,🛑 SL,-1.37%,-0.394%,12718.07,12768.43,-0.39%
2021-05-24 00:00:00,ALGO,Short,🛑 SL,-2.08%,-0.599%,12641.91,12768.43,-0.99%
2021-05-24 04:00:00,LTC,Short,🛑 SL,-1.82%,-0.524%,12575.67,12768.43,-1.51%
2021-05-27 20:00:00,DOGE,Short,🛑 SL,-1.53%,-0.440%,12520.27,12768.43,-1.94%
2021-05-28 08:00:00,BNB,Short,🛑 SL,-1.56%,-0.449%,12464.04,12768.43,-2.38%
2021-05-28 12:00:00,LTC,Short,Exit Short (Green),0.47%,0.135%,12480.91,12768.43,-2.25%
2021-05-28 12:00:00,ALGO,Short,Exit Short (Green),2.17%,0.625%,12558.88,12768.43,-1.64%
2021-05-28 12:00:00,DOGE,Short,Exit Short (Green),2.42%,0.697%,12646.38,12768.43,-0.96%
2021-05-29 04:00:00,ADA,Short,🛑 SL,-1.29%,-0.371%,12599.41,12768.43,-1.32%
2021-05-29 12:00:00,LTC,Short,🛑 SL,-1.73%,-0.498%,12536.66,12768.43,-1.82%
2021-05-29 16:00:00,DOGE,Short,Exit Short (Green),3.01%,0.867%,12645.3,12768.43,-0.96%
2021-05-29 20:00:00,ALGO,Short,Exit Short (Green),1.88%,0.541%,12713.74,12768.43,-0.43%
2021-05-29 20:00:00,ADA,Short,Exit Short (Green),3.11%,0.895%,12827.58,12827.58,-0.00%
2021-05-29 20:00:00,BNB,Short,Exit Short (Green),2.28%,0.656%,12911.78,12911.78,-0.00%
2021-05-30 00:00:00,DOGE,Short,🛑 SL,-1.69%,-0.487%,12848.96,12911.78,-0.49%
2021-05-30 00:00:00,LTC,Short,🛑 SL,-1.73%,-0.498%,12784.96,12911.78,-0.98%
2021-05-30 12:00:00,ALGO,Short,🛑 SL,-1.98%,-0.570%,12712.08,12911.78,-1.55%
2021-06-04 08:00:00,LTC,Short,Exit Short (Green),1.04%,0.299%,12750.14,12911.78,-1.25%
2021-06-04 12:00:00,LTC,Short,🛑 SL,-1.59%,-0.458%,12691.78,12911.78,-1.70%
2021-06-05 16:00:00,LTC,Short,🛑 SL,-1.66%,-0.478%,12631.12,12911.78,-2.17%
2021-06-05 20:00:00,ALGO,Short,🛑 SL,-1.66%,-0.478%,12570.76,12911.78,-2.64%
2021-06-07 20:00:00,ALGO,Short,🛑 SL,-1.68%,-0.484%,12509.96,12911.78,-3.11%
2021-06-08 04:00:00,BNB,Short,Exit Short (Green),6.47%,1.863%,12742.98,12911.78,-1.31%
2021-06-08 04:00:00,DOGE,Short,Exit Short (Green),9.60%,2.764%,13095.18,13095.18,-0.00%
2021-06-08 04:00:00,LTC,Short,Exit Short (Green),8.64%,2.487%,13420.91,13420.91,-0.00%
2021-06-11 20:00:00,BNB,Short,🛑 SL,-1.50%,-0.432%,13362.95,13420.91,-0.43%
2021-06-12 04:00:00,ADA,Short,Exit Short (Green),0.05%,0.014%,13364.88,13420.91,-0.42%
2021-06-12 04:00:00,ALGO,Short,Exit Short (Green),2.88%,0.829%,13475.69,13475.69,-0.00%
2021-06-12 04:00:00,LTC,Short,Exit Short (Green),3.01%,0.867%,13592.47,13592.47,-0.00%
2021-06-12 16:00:00,ALGO,Short,🛑 SL,-1.63%,-0.469%,13528.68,13592.47,-0.47%
2021-06-13 04:00:00,LTC,Short,Exit Short (Green),2.15%,0.619%,13612.42,13612.42,-0.00%
2021-06-16 12:00:00,DOGE,Short,🛑 SL,-1.83%,-0.527%,13540.71,13612.42,-0.53%
2021-06-16 20:00:00,DOGE,Short,🛑 SL,-1.83%,-0.527%,13469.37,13612.42,-1.05%
2021-06-17 16:00:00,LTC,Short,🛑 SL,-1.69%,-0.487%,13403.83,13612.42,-1.53%
2021-06-17 20:00:00,DOGE,Short,Exit Short (Green),-0.37%,-0.107%,13389.55,13612.42,-1.64%
2021-06-17 20:00:00,ADA,Short,Exit Short (Green),-0.58%,-0.167%,13367.2,13612.42,-1.80%
2021-06-18 04:00:00,ADA,Short,Exit Short (Green),-0.49%,-0.141%,13348.34,13612.42,-1.94%
2021-06-18 04:00:00,LTC,Short,Exit Short (Green),-0.79%,-0.227%,13317.98,13612.42,-2.16%
2021-06-18 20:00:00,BNB,Short,Exit Short (Green),1.79%,0.515%,13386.61,13612.42,-1.66%
2021-06-18 20:00:00,LTC,Short,Exit Short (Green),4.81%,1.385%,13571.99,13612.42,-0.30%
2021-06-18 20:00:00,ALGO,Short,Exit Short (Green),0.70%,0.202%,13599.34,13612.42,-0.10%
2021-06-19 20:00:00,ADA,Short,🛑 SL,-1.31%,-0.377%,13548.05,13612.42,-0.47%
2021-06-20 00:00:00,DOGE,Short,🛑 SL,-2.02%,-0.582%,13469.26,13612.42,-1.05%
2021-06-20 00:00:00,LTC,Short,Exit Short (Green),-1.38%,-0.397%,13415.75,13612.42,-1.44%
